     0.05          0.1           0.15          0.2           0.25          0.3           0.35          0.4           0.45          0.5           
10   10, 4039.0    3, 3516.1     0, 50.5       0, 68.3       0, 11.7       0, 10.9       0, 10.2       0, 10.3       0, 10.1       0, 13.8       
20   10, 4039.0    6, 3740.3     0, 1149.5     0, 31.2       0, 29.8       0, 24.9       0, 20.9       0, 20.5       0, 20.5       0, 20.3       
30   10, 4039.0    5, 3667.0     0, 993.2      0, 162.6      0, 41.5       0, 45.2       0, 30.7       0, 30.9       0, 30.8       0, 32.1       
40   10, 4039.0    7, 3890.9     0, 1551.8     0, 192.5      0, 106.4      0, 43.2       0, 45.1       0, 42.4       0, 43.2       0, 41.2       
50   10, 4039.0    9, 3968.1     0, 2681.3     0, 459.8      0, 64.2       0, 55.1       0, 50.5       0, 51.1       0, 54.7       0, 52.5       
60   10, 4039.0    8, 3890.5     0, 2999.2     0, 313.8      0, 99.1       0, 71.2       0, 62.1       0, 64.6       0, 61.9       0, 61.6       
70   10, 4039.0    9, 3968.0     0, 3128.1     0, 307.8      0, 124.4      0, 86.1       0, 82.2       0, 74.2       0, 72.0       0, 75.5       
80   9, 4039.1     9, 3964.6     0, 3272.2     0, 276.1      0, 145.5      0, 100.1      0, 87.7       0, 81.1       0, 91.0       0, 85.2       
90   9, 4039.1     9, 4039.1     0, 3488.4     0, 1235.2     0, 137.7      0, 98.4       0, 96.7       0, 95.8       0, 95.7       0, 101.3      
100  9, 4039.1     9, 4039.1     0, 3537.0     0, 1543.6     0, 217.3      0, 136.3      0, 107.5      0, 116.8      0, 106.5      0, 102.8      
110  9, 4039.1     10, 4039.0    4, 3811.8     0, 838.9      0, 248.7      0, 128.4      0, 118.0      0, 121.3      0, 113.8      0, 115.2      
120  10, 4039.0    9, 4039.1     0, 3515.3     0, 917.7      0, 327.8      0, 142.0      0, 128.6      0, 130.8      0, 133.8      0, 130.3      
130  10, 4039.0    10, 4039.0    1, 3766.7     0, 1933.6     0, 199.2      0, 168.1      0, 144.3      0, 144.2      0, 133.7      0, 135.5      
140  10, 4039.0    10, 4039.0    2, 3866.8     0, 2172.7     0, 435.7      0, 170.6      0, 165.3      0, 149.4      0, 146.1      0, 152.9      
150  8, 4039.2     10, 4039.0    4, 3714.0     0, 2751.8     0, 597.9      0, 253.1      0, 161.3      0, 161.9      0, 158.3      0, 156.9      
160  9, 4039.1     9, 4039.1     3, 3924.4     0, 2803.9     0, 254.1      0, 213.2      0, 171.8      0, 186.9      0, 165.8      0, 177.2      
170  9, 4039.1     8, 4039.2     5, 3954.6     0, 3006.7     0, 391.6      0, 244.6      0, 202.8      0, 186.1      0, 184.9      0, 179.6      
180  10, 4039.0    9, 4039.1     1, 3894.3     0, 3172.2     0, 481.3      0, 236.3      0, 197.7      0, 189.9      0, 195.0      0, 201.0      
190  10, 4039.0    9, 4039.1     7, 3901.6     0, 3195.0     0, 560.0      0, 302.0      0, 219.8      0, 209.5      0, 202.6      0, 206.5      
200  10, 4039.0    10, 4039.0    5, 4009.7     0, 3473.2     0, 721.6      0, 250.3      0, 226.0      0, 227.6      0, 217.4      0, 217.6      
210  10, 4039.0    10, 4039.0    6, 4014.1     0, 3458.6     0, 635.6      0, 277.4      0, 242.7      0, 250.9      0, 231.5      0, 226.7      
220  8, 4039.2     10, 4039.0    4, 3825.2     0, 3439.7     0, 897.5      0, 309.9      0, 251.7      0, 254.1      0, 233.9      0, 233.8      
230  10, 4039.0    9, 4039.1     3, 3888.2     0, 3702.0     0, 875.0      0, 332.8      0, 274.3      0, 244.6      0, 243.9      0, 254.7      
240  10, 4039.0    10, 4039.0    8, 4034.2     0, 3751.6     0, 887.4      0, 363.5      0, 267.6      0, 261.9      0, 257.0      0, 260.6      
250  9, 4039.1     9, 4039.1     7, 4031.5     1, 3537.0     0, 1012.5     0, 450.3      0, 306.4      0, 283.4      0, 269.2      0, 264.8      
